loss,mae,val_loss,val_mae,lr
4.595742225646973,1.5344475507736206,4.101683616638184,1.4200992584228516,0.001
4.560186862945557,1.5270905494689941,4.083637714385986,1.3914761543273926,0.001
4.559669017791748,1.5259665250778198,4.043478012084961,1.398179292678833,0.001
4.563229560852051,1.5265852212905884,4.034700393676758,1.3952012062072754,0.001
4.526390552520752,1.5199991464614868,4.03367280960083,1.3995040655136108,0.001
4.579288005828857,1.528436541557312,4.042109966278076,1.4006052017211914,0.001
4.520796775817871,1.5174596309661865,4.061422348022461,1.4074019193649292,0.001
4.512577533721924,1.5152716636657715,3.9493138790130615,1.3683017492294312,0.001
4.539412975311279,1.52022123336792,4.097133636474609,1.4095793962478638,0.001
4.504275321960449,1.5149133205413818,4.066886901855469,1.3923072814941406,0.001
4.521952152252197,1.5132094621658325,4.026871204376221,1.390884518623352,0.001
4.515772342681885,1.5153964757919312,3.9475972652435303,1.3724197149276733,0.001
4.512032985687256,1.5143300294876099,4.2578444480896,1.4480057954788208,0.001
4.500984191894531,1.5064278841018677,4.018331527709961,1.3904836177825928,0.001
4.504158973693848,1.5088917016983032,4.071448802947998,1.4053959846496582,0.001
4.500939846038818,1.5106583833694458,3.987028121948242,1.3853718042373657,0.001
4.466017246246338,1.5033960342407227,4.023200988769531,1.3817211389541626,0.001
4.471048831939697,1.5041519403457642,4.085131645202637,1.4071725606918335,0.001
4.507133483886719,1.5100421905517578,4.080583095550537,1.404656171798706,0.001
4.510387897491455,1.512394905090332,4.038816928863525,1.3813443183898926,0.001
4.497579097747803,1.5081392526626587,4.026116371154785,1.380766749382019,0.001
4.494443416595459,1.5059559345245361,4.047317028045654,1.385197401046753,0.001
4.467439651489258,1.5029908418655396,4.151895999908447,1.4239203929901123,0.001
4.478346824645996,1.5036274194717407,4.037772178649902,1.3843125104904175,0.001
4.4913105964660645,1.5062540769577026,3.9865524768829346,1.3635755777359009,0.001
4.4620161056518555,1.4970436096191406,4.072991371154785,1.3935312032699585,0.001
4.467235565185547,1.502309799194336,4.030364990234375,1.3915492296218872,0.001
4.458024501800537,1.49854576587677,4.047090530395508,1.39426589012146,0.001
